region,date,cases
Москва,2020-04-02,595
Московская область,2020-04-02,43
Санкт-Петербург,2020-04-02,22
Нижегородская область,2020-04-02,13
Ленинградская область,2020-04-02,11
Республика Дагестан,2020-04-02,10
Калининградская область,2020-04-02,7
Пермский край,2020-04-02,7
Ставропольский край,2020-04-02,5
Оренбургская область,2020-04-02,5
Свердловская область,2020-04-02,5
Республика Бурятия,2020-04-02,5
Красноярский край,2020-04-02,5
Липецкая область,2020-04-02,4
Мурманская область,2020-04-02,4
Ростовская область,2020-04-02,4
Иркутская область,2020-04-02,4
Вологодская область,2020-04-02,3
Калужская область,2020-04-02,2
Республика Коми,2020-04-02,2
Республика Северная Осетия,2020-04-02,2
Республика Башкортостан,2020-04-02,2
Республика Марий Эл,2020-04-02,2
Самарская область,2020-04-02,2
Ямало-Ненецкий АО,2020-04-02,2
Омская область,2020-04-02,2
Белгородская область,2020-04-02,1
Республика Адыгея,2020-04-02,1
Алтайский край,2020-04-02,1
