region,date,cases
Москва,2020-03-26,136
Свердловская область,2020-03-26,7
Санкт-Петербург,2020-03-26,5
Пермский край,2020-03-26,5
Республика Саха (Якутия),2020-03-26,4
Ставропольский край,2020-03-26,3
Республика Татарстан,2020-03-26,3
Челябинская область,2020-03-26,3
Красноярский край,2020-03-26,3
Псковская область,2020-03-26,2
Самарская область,2020-03-26,2
Ханты-Мансийский АО,2020-03-26,2
Республика Бурятия,2020-03-26,2
Республика Хакасия,2020-03-26,1
Кемеровская область,2020-03-26,1
Новосибирская область,2020-03-26,1
Томская область,2020-03-26,1
Хабаровский край,2020-03-26,1
За сутки выписаны по выздоровлению,2020-03-26,9
Москва,2020-03-26,1
За весь период выписано,2020-03-26,38
