region,date,cases
Москва,2020-04-18,2649
Московская область,2020-04-18,428
Санкт-Петербург,2020-04-18,139
Республика Мордовия,2020-04-18,62
Чеченская Республика,2020-04-18,60
Нижегородская область,2020-04-18,59
Ставропольский край,2020-04-18,54
Тверская область,2020-04-18,49
Краснодарский край,2020-04-18,45
Красноярский край,2020-04-18,45
Республика Дагестан,2020-04-18,44
Магаданская область,2020-04-18,44
Рязанская область,2020-04-18,41
Республика Марий Эл,2020-04-18,40
Республика Башкортостан,2020-04-18,39
Тюменская область,2020-04-18,39
Хабаровский край,2020-04-18,38
Республика Ингушетия,2020-04-18,36
Астраханская область,2020-04-18,35
Орловская область,2020-04-18,34
Ленинградская область,2020-04-18,34
Ханты-Мансийский АО,2020-04-18,33
Тамбовская область,2020-04-18,32
Тульская область,2020-04-18,30
Калужская область,2020-04-18,29
Республика Северная Осетия,2020-04-18,29
Ростовская область,2020-04-18,29
Брянская область,2020-04-18,28
Чувашская Республика,2020-04-18,27
Пермский край,2020-04-18,26
Курская область,2020-04-18,25
Ярославская область,2020-04-18,24
Воронежская область,2020-04-18,22
Кабардино-Балкарская Республика,2020-04-18,22
Липецкая область,2020-04-18,21
Пензенская область,2020-04-18,21
Кировская область,2020-04-18,20
Оренбургская область,2020-04-18,20
Республика Коми,2020-04-18,19
Ульяновская область,2020-04-18,19
Приморский край,2020-04-18,18
Волгоградская область,2020-04-18,17
Республика Татарстан,2020-04-18,16
Владимирская область,2020-04-18,15
Ивановская область,2020-04-18,15
Республика Калмыкия,2020-04-18,14
Смоленская область,2020-04-18,13
Белгородская область,2020-04-18,11
Калининградская область,2020-04-18,11
Саратовская область,2020-04-18,11
Свердловская область,2020-04-18,11
Алтайский край,2020-04-18,10
Новосибирская область,2020-04-18,10
Вологодская область,2020-04-18,9
Республика Бурятия,2020-04-18,9
Республика Саха (Якутия),2020-04-18,9
Республика Хакасия,2020-04-18,8
Мурманская область,2020-04-18,7
Иркутская область,2020-04-18,7
Костромская область,2020-04-18,6
Республика Карелия,2020-04-18,6
Новгородская область,2020-04-18,6
Архангельская область,2020-04-18,5
Псковская область,2020-04-18,5
Республика Адыгея,2020-04-18,5
Ямало-Ненецкий АО,2020-04-18,5
Омская область,2020-04-18,5
Удмуртская Республика,2020-04-18,4
Челябинская область,2020-04-18,4
Кемеровская область,2020-04-18,4
Томская область,2020-04-18,3
Забайкальский край,2020-04-18,3
Амурская область,2020-04-18,3
Еврейская АО,2020-04-18,3
Республика Крым,2020-04-18,3
Республика Горный Алтай,2020-04-18,1
Карачаево-Черкесская Республика,2020-04-18,1
Самарская область,2020-04-18,1
Курганская область,2020-04-18,1
