region,date,cases
Москва,2020-04-07,697
Санкт-Петербург,2020-04-07,69
Московская область,2020-04-07,67
Брянская область,2020-04-07,32
Калининградская область,2020-04-07,29
Ставропольский край,2020-04-07,19
Пензенская область,2020-04-07,19
Ханты-Мансийский АО,2020-04-07,19
Ямало-Ненецкий АО,2020-04-07,18
Ивановская область,2020-04-07,14
Республика Дагестан,2020-04-07,13
Республика Коми,2020-04-07,11
Краснодарский край,2020-04-07,11
Волгоградская область,2020-04-07,11
Пермский край,2020-04-07,11
Тульская область,2020-04-07,10
Ростовская область,2020-04-07,8
Владимирская область,2020-04-07,7
Свердловская область,2020-04-07,7
Тюменская область,2020-04-07,7
Республика Ингушетия,2020-04-07,6
Саратовская область,2020-04-07,6
Орловская область,2020-04-07,5
Ярославская область,2020-04-07,5
Кабардино-Балкарская Республика,2020-04-07,5
Хабаровский край,2020-04-07,5
Калужская область,2020-04-07,4
Псковская область,2020-04-07,4
Республика Калмыкия,2020-04-07,4
Удмуртская Республика,2020-04-07,4
Омская область,2020-04-07,4
Белгородская область,2020-04-07,3
Карачаево-Черкесская Республика,2020-04-07,3
Чувашская Республика,2020-04-07,3
Иркутская область,2020-04-07,3
Республика Башкортостан,2020-04-07,2
Кировская область,2020-04-07,2
Ульяновская область,2020-04-07,2
Республика Северная Осетия,2020-04-07,1
Чеченская Республика,2020-04-07,1
Челябинская область,2020-04-07,1
Приморский край,2020-04-07,1
Республика Крым,2020-04-07,1
