region,date,cases
Москва,2020-04-29,2220
Московская область,2020-04-29,686
Санкт-Петербург,2020-04-29,290
Нижегородская область,2020-04-29,131
Республика Северная Осетия,2020-04-29,121
Брянская область,2020-04-29,115
Тульская область,2020-04-29,90
Свердловская область,2020-04-29,90
Ростовская область,2020-04-29,86
Республика Дагестан,2020-04-29,84
Мурманская область,2020-04-29,70
Курская область,2020-04-29,68
Республика Мордовия,2020-04-29,67
Калужская область,2020-04-29,66
Краснодарский край,2020-04-29,63
Республика Башкортостан,2020-04-29,60
Республика Татарстан,2020-04-29,55
Самарская область,2020-04-29,55
Ленинградская область,2020-04-29,53
Рязанская область,2020-04-29,52
Республика Ингушетия,2020-04-29,46
Кабардино-Балкарская Республика,2020-04-29,45
Тамбовская область,2020-04-29,44
Астраханская область,2020-04-29,44
Кировская область,2020-04-29,43
Пензенская область,2020-04-29,42
Севастополь,2020-04-29,40
Воронежская область,2020-04-29,39
Орловская область,2020-04-29,38
Камчатский край,2020-04-29,38
Владимирская область,2020-04-29,37
Чувашская Республика,2020-04-29,37
Оренбургская область,2020-04-29,37
Республика Марий Эл,2020-04-29,35
Красноярский край,2020-04-29,35
Смоленская область,2020-04-29,34
Саратовская область,2020-04-29,33
Ивановская область,2020-04-29,31
Хабаровский край,2020-04-29,31
Новосибирская область,2020-04-29,29
Белгородская область,2020-04-29,28
Липецкая область,2020-04-29,28
Ставропольский край,2020-04-29,28
Ханты-Мансийский АО,2020-04-29,28
Ярославская область,2020-04-29,27
Алтайский край,2020-04-29,24
Калининградская область,2020-04-29,23
Ямало-Ненецкий АО,2020-04-29,22
Республика Хакасия,2020-04-29,22
Приморский край,2020-04-29,20
Ульяновская область,2020-04-29,19
Челябинская область,2020-04-29,19
Чеченская Республика,2020-04-29,18
Республика Бурятия,2020-04-29,18
Республика Саха (Якутия),2020-04-29,17
Республика Калмыкия,2020-04-29,16
Карачаево-Черкесская Республика,2020-04-29,16
Волгоградская область,2020-04-29,16
Тюменская область,2020-04-29,16
Республика Коми,2020-04-29,14
Псковская область,2020-04-29,14
Костромская область,2020-04-29,13
Новгородская область,2020-04-29,12
Тверская область,2020-04-29,11
Пермский край,2020-04-29,10
Республика Крым,2020-04-29,9
Магаданская область,2020-04-29,7
Вологодская область,2020-04-29,6
Курганская область,2020-04-29,6
Иркутская область,2020-04-29,6
Томская область,2020-04-29,6
Забайкальский край,2020-04-29,6
Удмуртская Республика,2020-04-29,5
Омская область,2020-04-29,5
Амурская область,2020-04-29,5
Еврейская АО,2020-04-29,5
Архангельская область,2020-04-29,4
Республика Адыгея,2020-04-29,4
Республика Алтай,2020-04-29,3
Кемеровская область,2020-04-29,3
Республика Карелия,2020-04-29,1
Ненецкий автономный округ,2020-04-29,1
