region,date,cases
Москва,2020-03-28,114
Московская область,2020-03-28,36
Санкт-Петербург,2020-03-28,11
Краснодарский край,2020-03-28,8
Республика Бурятия,2020-03-28,6
Ивановская область,2020-03-28,5
Ленинградская область,2020-03-28,4
Свердловская область,2020-03-28,4
Челябинская область,2020-03-28,4
Красноярский край,2020-03-28,4
Сахалинская область,2020-03-28,4
Липецкая область,2020-03-28,3
Тульская область,2020-03-28,3
Калининградская область,2020-03-28,3
Республика Татарстан,2020-03-28,3
Нижегородская область,2020-03-28,3
Чеченская Республика,2020-03-28,2
Оренбургская область,2020-03-28,2
Новосибирская область,2020-03-28,2
Брянская область,2020-03-28,1
Костромская область,2020-03-28,1
Смоленская область,2020-03-28,1
Республика Адыгея,2020-03-28,1
Пермский край,2020-03-28,1
Саратовская область,2020-03-28,1
Республика Крым,2020-03-28,1
