region,date,cases
Москва,2020-04-04,434
Московская область,2020-04-04,49
Санкт-Петербург,2020-04-04,15
Брянская область,2020-04-04,12
Ивановская область,2020-04-04,10
Рязанская область,2020-04-04,6
Ленинградская область,2020-04-04,6
Костромская область,2020-04-04,5
Республика Бурятия,2020-04-04,4
Орловская область,2020-04-04,3
Республика Коми,2020-04-04,3
Чеченская Республика,2020-04-04,3
Кировская область,2020-04-04,3
Челябинская область,2020-04-04,3
Алтайский край,2020-04-04,3
Амурская область,2020-04-04,3
Воронежская область,2020-04-04,2
Тульская область,2020-04-04,2
Ярославская область,2020-04-04,2
Республика Адыгея,2020-04-04,2
Белгородская область,2020-04-04,1
Калужская область,2020-04-04,1
Смоленская область,2020-04-04,1
Тамбовская область,2020-04-04,1
Вологодская область,2020-04-04,1
Республика Северная Осетия,2020-04-04,1
Республика Мордовия,2020-04-04,1
Удмуртская Республика,2020-04-04,1
Курганская область,2020-04-04,1
Свердловская область,2020-04-04,1
Омская область,2020-04-04,1
Сахалинская область,2020-04-04,1
