region,date,cases
Москва,2020-04-23,1959
Московская область,2020-04-23,688
Санкт-Петербург,2020-04-23,191
Мурманская область,2020-04-23,97
Ямало-Ненецкий АО,2020-04-23,94
Нижегородская область,2020-04-23,73
Ростовская область,2020-04-23,71
Ярославская область,2020-04-23,65
Брянская область,2020-04-23,60
Краснодарский край,2020-04-23,58
Республика Татарстан,2020-04-23,57
Ставропольский край,2020-04-23,55
Калужская область,2020-04-23,53
Владимирская область,2020-04-23,46
Чувашская Республика,2020-04-23,43
Ленинградская область,2020-04-23,39
Республика Ингушетия,2020-04-23,39
Саратовская область,2020-04-23,39
Хабаровский край,2020-04-23,38
Рязанская область,2020-04-23,37
Республика Дагестан,2020-04-23,37
Красноярский край,2020-04-23,35
Белгородская область,2020-04-23,32
Курская область,2020-04-23,32
Ульяновская область,2020-04-23,32
Республика Северная Осетия,2020-04-23,31
Республика Мордовия,2020-04-23,28
Свердловская область,2020-04-23,28
Тверская область,2020-04-23,27
Республика Башкортостан,2020-04-23,26
Самарская область,2020-04-23,26
Воронежская область,2020-04-23,25
Липецкая область,2020-04-23,25
Тульская область,2020-04-23,25
Кабардино-Балкарская Республика,2020-04-23,25
Карачаево-Черкесская Республика,2020-04-23,24
Чеченская Республика,2020-04-23,24
Кировская область,2020-04-23,24
Тамбовская область,2020-04-23,23
Оренбургская область,2020-04-23,23
Тюменская область,2020-04-23,22
Пермский край,2020-04-23,21
Волгоградская область,2020-04-23,20
Приморский край,2020-04-23,19
Новгородская область,2020-04-23,17
Астраханская область,2020-04-23,17
Новосибирская область,2020-04-23,17
Костромская область,2020-04-23,16
Республика Коми,2020-04-23,15
Республика Марий Эл,2020-04-23,15
Пензенская область,2020-04-23,15
Камчатский край,2020-04-23,15
Ивановская область,2020-04-23,14
Еврейская АО,2020-04-23,14
Ханты-Мансийский АО,2020-04-23,12
Республика Хакасия,2020-04-23,12
Республика Саха (Якутия),2020-04-23,12
Орловская область,2020-04-23,11
Кемеровская область,2020-04-23,11
Республика Бурятия,2020-04-23,10
Удмуртская Республика,2020-04-23,9
Челябинская область,2020-04-23,9
Томская область,2020-04-23,9
Магаданская область,2020-04-23,9
Калининградская область,2020-04-23,8
Алтайский край,2020-04-23,8
Омская область,2020-04-23,8
Смоленская область,2020-04-23,7
Вологодская область,2020-04-23,6
Республика Калмыкия,2020-04-23,6
Севастополь,2020-04-23,6
Республика Карелия,2020-04-23,5
Курганская область,2020-04-23,5
Республика Крым,2020-04-23,5
Псковская область,2020-04-23,4
Архангельская область,2020-04-23,3
Забайкальский край,2020-04-23,3
Амурская область,2020-04-23,2
Республика Адыгея,2020-04-23,1
Республика Алтай,2020-04-23,1
Республика Тыва,2020-04-23,1
