region,date,cases
Москва,2020-05-02,5358
Московская область,2020-05-02,807
Санкт-Петербург,2020-05-02,323
Нижегородская область,2020-05-02,320
Мурманская область,2020-05-02,143
Республика Дагестан,2020-05-02,109
Рязанская область,2020-05-02,98
Республика Башкортостан,2020-05-02,92
Тульская область,2020-05-02,88
Республика Северная Осетия,2020-05-02,85
Свердловская область,2020-05-02,81
Ростовская область,2020-05-02,80
Краснодарский край,2020-05-02,79
Брянская область,2020-05-02,73
Курская область,2020-05-02,69
Республика Татарстан,2020-05-02,66
Ярославская область,2020-05-02,64
Владимирская область,2020-05-02,60
Калужская область,2020-05-02,59
Тамбовская область,2020-05-02,54
Красноярский край,2020-05-02,50
Чувашская Республика,2020-05-02,49
Саратовская область,2020-05-02,48
Тверская область,2020-05-02,46
Ленинградская область,2020-05-02,46
Волгоградская область,2020-05-02,46
Республика Ингушетия,2020-05-02,45
Кабардино-Балкарская Республика,2020-05-02,45
Смоленская область,2020-05-02,44
Калининградская область,2020-05-02,43
Ямало-Ненецкий АО,2020-05-02,43
Новосибирская область,2020-05-02,43
Самарская область,2020-05-02,41
Республика Мордовия,2020-05-02,37
Белгородская область,2020-05-02,36
Воронежская область,2020-05-02,36
Липецкая область,2020-05-02,35
Республика Саха (Якутия),2020-05-02,34
Пензенская область,2020-05-02,33
Орловская область,2020-05-02,32
Кировская область,2020-05-02,32
Пермский край,2020-05-02,32
Ульяновская область,2020-05-02,32
Ивановская область,2020-05-02,31
Республика Марий Эл,2020-05-02,31
Челябинская область,2020-05-02,30
Хабаровский край,2020-05-02,29
Республика Бурятия,2020-05-02,28
Алтайский край,2020-05-02,28
Астраханская область,2020-05-02,27
Архангельская область,2020-05-02,25
Новгородская область,2020-05-02,25
Ставропольский край,2020-05-02,25
Приморский край,2020-05-02,25
Псковская область,2020-05-02,24
Республика Калмыкия,2020-05-02,23
Оренбургская область,2020-05-02,22
Чеченская Республика,2020-05-02,21
Забайкальский край,2020-05-02,21
Тюменская область,2020-05-02,16
Вологодская область,2020-05-02,15
Костромская область,2020-05-02,14
Карачаево-Черкесская Республика,2020-05-02,14
Кемеровская область,2020-05-02,14
Ханты-Мансийский АО,2020-05-02,9
Республика Хакасия,2020-05-02,9
Омская область,2020-05-02,9
Республика Крым,2020-05-02,8
Республика Карелия,2020-05-02,7
Республика Коми,2020-05-02,7
Удмуртская Республика,2020-05-02,7
Иркутская область,2020-05-02,7
Томская область,2020-05-02,5
Амурская область,2020-05-02,5
Камчатский край,2020-05-02,5
Курганская область,2020-05-02,4
Магаданская область,2020-05-02,4
Республика Адыгея,2020-05-02,3
Еврейская АО,2020-05-02,3
Чукотский АО,2020-05-02,3
Республика Алтай,2020-05-02,2
Республика Тыва,2020-05-02,1
Севастополь,2020-05-02,1
