region,date,cases
Москва,2020-04-19,3570
Московская область,2020-04-19,709
Нижегородская область,2020-04-19,129
Санкт-Петербург,2020-04-19,114
Архангельская область,2020-04-19,68
Республика Мордовия,2020-04-19,60
Тульская область,2020-04-19,58
Краснодарский край,2020-04-19,48
Чеченская Республика,2020-04-19,44
Оренбургская область,2020-04-19,44
Республика Марий Эл,2020-04-19,43
Рязанская область,2020-04-19,42
Республика Ингушетия,2020-04-19,42
Тюменская область,2020-04-19,42
Республика Саха (Якутия),2020-04-19,41
Кировская область,2020-04-19,39
Хабаровский край,2020-04-19,38
Калужская область,2020-04-19,37
Республика Дагестан,2020-04-19,35
Ростовская область,2020-04-19,35
Тверская область,2020-04-19,33
Мурманская область,2020-04-19,33
Республика Татарстан,2020-04-19,31
Ленинградская область,2020-04-19,29
Чувашская Республика,2020-04-19,29
Пермский край,2020-04-19,28
Владимирская область,2020-04-19,27
Воронежская область,2020-04-19,26
Курская область,2020-04-19,26
Республика Северная Осетия,2020-04-19,26
Астраханская область,2020-04-19,24
Красноярский край,2020-04-19,24
Брянская область,2020-04-19,23
Ставропольский край,2020-04-19,23
Тамбовская область,2020-04-19,22
Кабардино-Балкарская Республика,2020-04-19,22
Республика Хакасия,2020-04-19,22
Новосибирская область,2020-04-19,22
Смоленская область,2020-04-19,21
Липецкая область,2020-04-19,20
Ивановская область,2020-04-19,19
Новгородская область,2020-04-19,18
Карачаево-Черкесская Республика,2020-04-19,17
Саратовская область,2020-04-19,16
Самарская область,2020-04-19,15
Свердловская область,2020-04-19,15
Волгоградская область,2020-04-19,14
Ханты-Мансийский АО,2020-04-19,14
Костромская область,2020-04-19,13
Орловская область,2020-04-19,13
Приморский край,2020-04-19,13
Ярославская область,2020-04-19,12
Калининградская область,2020-04-19,11
Ульяновская область,2020-04-19,11
Ямало-Ненецкий АО,2020-04-19,10
Белгородская область,2020-04-19,9
Алтайский край,2020-04-19,9
Кемеровская область,2020-04-19,9
Республика Коми,2020-04-19,7
Вологодская область,2020-04-19,7
Республика Адыгея,2020-04-19,7
Республика Калмыкия,2020-04-19,7
Челябинская область,2020-04-19,7
Томская область,2020-04-19,5
Камчатский край,2020-04-19,5
Республика Карелия,2020-04-19,4
Удмуртская Республика,2020-04-19,4
Республика Тыва,2020-04-19,4
Республика Бурятия,2020-04-19,3
Псковская область,2020-04-19,2
Омская область,2020-04-19,2
Амурская область,2020-04-19,2
Республика Крым,2020-04-19,2
Иркутская область,2020-04-19,1
Забайкальский край,2020-04-19,1
Магаданская область,2020-04-19,1
Еврейская АО,2020-04-19,1
Севастополь,2020-04-19,1
