region,date,cases
Москва,2020-03-27,157
Республика Крым,2020-03-27,7
Московская область,2020-03-27,8
Севастополь,2020-03-27,5
Волгоградская область,2020-03-27,3
Чеченская Республика,2020-03-27,2
Республика Мордовия,2020-03-27,2
Удмуртская Республика,2020-03-27,2
Самарская область,2020-03-27,2
Ивановская область,2020-03-27,1
Орловская область,2020-03-27,1
Тульская область,2020-03-27,1
Ярославская область,2020-03-27,1
Республика Дагестан,2020-03-27,1
Ростовская область,2020-03-27,1
Республика Татарстан,2020-03-27,1
Кировская область,2020-03-27,1
