region,date,cases
Москва,2020-04-21,3083
Московская область,2020-04-21,718
Санкт-Петербург,2020-04-21,127
Нижегородская область,2020-04-21,101
Свердловская область,2020-04-21,84
Тульская область,2020-04-21,75
Республика Башкортостан,2020-04-21,74
Красноярский край,2020-04-21,64
Ростовская область,2020-04-21,54
Республика Татарстан,2020-04-21,50
Республика Ингушетия,2020-04-21,46
Краснодарский край,2020-04-21,44
Ярославская область,2020-04-21,43
Алтайский край,2020-04-21,43
Ленинградская область,2020-04-21,42
Оренбургская область,2020-04-21,42
Республика Дагестан,2020-04-21,40
Чеченская Республика,2020-04-21,39
Тюменская область,2020-04-21,36
Мурманская область,2020-04-21,35
Республика Мордовия,2020-04-21,34
Тверская область,2020-04-21,33
Республика Северная Осетия,2020-04-21,32
Воронежская область,2020-04-21,31
Калужская область,2020-04-21,30
Брянская область,2020-04-21,29
Хабаровский край,2020-04-21,28
Рязанская область,2020-04-21,27
Удмуртская Республика,2020-04-21,26
Саратовская область,2020-04-21,26
Орловская область,2020-04-21,23
Волгоградская область,2020-04-21,23
Курская область,2020-04-21,22
Ставропольский край,2020-04-21,22
Пермский край,2020-04-21,22
Владимирская область,2020-04-21,21
Еврейская АО,2020-04-21,21
Липецкая область,2020-04-21,20
Республика Марий Эл,2020-04-21,20
Смоленская область,2020-04-21,19
Карачаево-Черкесская Республика,2020-04-21,19
Кировская область,2020-04-21,19
Кабардино-Балкарская Республика,2020-04-21,18
Республика Коми,2020-04-21,16
Пензенская область,2020-04-21,15
Челябинская область,2020-04-21,14
Тамбовская область,2020-04-21,13
Костромская область,2020-04-21,11
Белгородская область,2020-04-21,10
Ивановская область,2020-04-21,10
Чувашская Республика,2020-04-21,10
Республика Бурятия,2020-04-21,10
Ханты-Мансийский АО,2020-04-21,9
Республика Адыгея,2020-04-21,8
Самарская область,2020-04-21,8
Республика Хакасия,2020-04-21,8
Вологодская область,2020-04-21,7
Забайкальский край,2020-04-21,7
Приморский край,2020-04-21,7
Камчатский край,2020-04-21,7
Калининградская область,2020-04-21,6
Новгородская область,2020-04-21,6
Псковская область,2020-04-21,6
Ямало-Ненецкий АО,2020-04-21,6
Кемеровская область,2020-04-21,6
Омская область,2020-04-21,5
Архангельская область,2020-04-21,4
Республика Алтай,2020-04-21,4
Томская область,2020-04-21,4
Республика Саха (Якутия),2020-04-21,4
Республика Карелия,2020-04-21,3
Иркутская область,2020-04-21,3
Новосибирская область,2020-04-21,3
Курганская область,2020-04-21,2
Магаданская область,2020-04-21,2
Астраханская область,2020-04-21,1
Республика Крым,2020-04-21,1
Севастополь,2020-04-21,1
