region,date,cases
Москва,2020-04-20,2026
Московская область,2020-04-20,578
Нижегородская область,2020-04-20,113
Санкт-Петербург,2020-04-20,86
Ростовская область,2020-04-20,60
Мурманская область,2020-04-20,46
Чеченская Республика,2020-04-20,45
Республика Башкортостан,2020-04-20,45
Орловская область,2020-04-20,43
Брянская область,2020-04-20,42
Калужская область,2020-04-20,40
Республика Дагестан,2020-04-20,39
Республика Ингушетия,2020-04-20,39
Республика Татарстан,2020-04-20,39
Ленинградская область,2020-04-20,37
Республика Мордовия,2020-04-20,35
Владимирская область,2020-04-20,34
Краснодарский край,2020-04-20,34
Чувашская Республика,2020-04-20,32
Хабаровский край,2020-04-20,30
Республика Марий Эл,2020-04-20,29
Саратовская область,2020-04-20,28
Ярославская область,2020-04-20,27
Тюменская область,2020-04-20,27
Тверская область,2020-04-20,26
Удмуртская Республика,2020-04-20,26
Республика Северная Осетия,2020-04-20,25
Пензенская область,2020-04-20,25
Воронежская область,2020-04-20,24
Курская область,2020-04-20,24
Ямало-Ненецкий АО,2020-04-20,24
Новосибирская область,2020-04-20,24
Белгородская область,2020-04-20,22
Рязанская область,2020-04-20,22
Тамбовская область,2020-04-20,22
Тульская область,2020-04-20,22
Ивановская область,2020-04-20,20
Липецкая область,2020-04-20,20
Карачаево-Черкесская Республика,2020-04-20,20
Кировская область,2020-04-20,19
Ульяновская область,2020-04-20,19
Республика Саха (Якутия),2020-04-20,19
Волгоградская область,2020-04-20,18
Пермский край,2020-04-20,17
Приморский край,2020-04-20,17
Смоленская область,2020-04-20,16
Кабардино-Балкарская Республика,2020-04-20,16
Самарская область,2020-04-20,16
Астраханская область,2020-04-20,13
Ханты-Мансийский АО,2020-04-20,13
Калининградская область,2020-04-20,12
Ставропольский край,2020-04-20,12
Алтайский край,2020-04-20,12
Республика Коми,2020-04-20,10
Новгородская область,2020-04-20,10
Челябинская область,2020-04-20,10
Иркутская область,2020-04-20,10
Республика Адыгея,2020-04-20,9
Забайкальский край,2020-04-20,9
Республика Карелия,2020-04-20,8
Псковская область,2020-04-20,8
Свердловская область,2020-04-20,8
Республика Хакасия,2020-04-20,8
Архангельская область,2020-04-20,7
Вологодская область,2020-04-20,7
Камчатский край,2020-04-20,7
Красноярский край,2020-04-20,6
Кемеровская область,2020-04-20,6
Костромская область,2020-04-20,4
Томская область,2020-04-20,4
Амурская область,2020-04-20,4
Севастополь,2020-04-20,4
Республика Калмыкия,2020-04-20,3
Омская область,2020-04-20,3
Республика Алтай,2020-04-20,2
Еврейская АО,2020-04-20,2
