region,date,cases
Москва,2020-04-28,3075
Московская область,2020-04-28,523
Санкт-Петербург,2020-04-28,198
Республика Дагестан,2020-04-28,153
Республика Северная Осетия,2020-04-28,148
Рязанская область,2020-04-28,101
Нижегородская область,2020-04-28,89
Свердловская область,2020-04-28,85
Владимирская область,2020-04-28,79
Тульская область,2020-04-28,70
Калужская область,2020-04-28,67
Мурманская область,2020-04-28,67
Курская область,2020-04-28,65
Республика Татарстан,2020-04-28,65
Оренбургская область,2020-04-28,65
Ростовская область,2020-04-28,64
Воронежская область,2020-04-28,62
Республика Башкортостан,2020-04-28,61
Новосибирская область,2020-04-28,60
Орловская область,2020-04-28,53
Краснодарский край,2020-04-28,51
Челябинская область,2020-04-28,48
Ярославская область,2020-04-28,47
Красноярский край,2020-04-28,47
Смоленская область,2020-04-28,45
Приморский край,2020-04-28,45
Республика Ингушетия,2020-04-28,43
Ханты-Мансийский АО,2020-04-28,41
Калининградская область,2020-04-28,39
Чувашская Республика,2020-04-28,39
Пензенская область,2020-04-28,39
Ленинградская область,2020-04-28,38
Кабардино-Балкарская Республика,2020-04-28,38
Республика Марий Эл,2020-04-28,38
Ставропольский край,2020-04-28,37
Кировская область,2020-04-28,35
Тамбовская область,2020-04-28,33
Республика Мордовия,2020-04-28,32
Саратовская область,2020-04-28,32
Белгородская область,2020-04-28,30
Ульяновская область,2020-04-28,29
Хабаровский край,2020-04-28,28
Брянская область,2020-04-28,26
Липецкая область,2020-04-28,26
Волгоградская область,2020-04-28,25
Костромская область,2020-04-28,22
Республика Хакасия,2020-04-28,22
Ненецкий автономный округ,2020-04-28,18
Чеченская Республика,2020-04-28,18
Республика Бурятия,2020-04-28,18
Пермский край,2020-04-28,17
Ивановская область,2020-04-28,14
Алтайский край,2020-04-28,14
Карачаево-Черкесская Республика,2020-04-28,13
Ямало-Ненецкий АО,2020-04-28,12
Еврейская АО,2020-04-28,12
Омская область,2020-04-28,11
Новгородская область,2020-04-28,10
Тверская область,2020-04-28,9
Республика Калмыкия,2020-04-28,9
Республика Адыгея,2020-04-28,8
Астраханская область,2020-04-28,8
Самарская область,2020-04-28,8
Иркутская область,2020-04-28,8
Камчатский край,2020-04-28,8
Республика Коми,2020-04-28,7
Забайкальский край,2020-04-28,7
Республика Саха (Якутия),2020-04-28,7
Республика Карелия,2020-04-28,6
Архангельская область,2020-04-28,6
Вологодская область,2020-04-28,5
Удмуртская Республика,2020-04-28,5
Тюменская область,2020-04-28,5
Томская область,2020-04-28,5
Псковская область,2020-04-28,4
Кемеровская область,2020-04-28,4
Севастополь,2020-04-28,3
Курганская область,2020-04-28,2
Республика Тыва,2020-04-28,1
Амурская область,2020-04-28,1
Магаданская область,2020-04-28,1
Сахалинская область,2020-04-28,1
Республика Крым,2020-04-28,1
