region,date,cases
Москва,2020-04-26,2971
Московская область,2020-04-26,576
Нижегородская область,2020-04-26,153
Санкт-Петербург,2020-04-26,151
Мурманская область,2020-04-26,105
Республика Дагестан,2020-04-26,103
Брянская область,2020-04-26,78
Краснодарский край,2020-04-26,73
Республика Татарстан,2020-04-26,71
Калужская область,2020-04-26,70
Алтайский край,2020-04-26,68
Курская область,2020-04-26,67
Тульская область,2020-04-26,66
Астраханская область,2020-04-26,66
Ростовская область,2020-04-26,65
Рязанская область,2020-04-26,63
Челябинская область,2020-04-26,62
Пермский край,2020-04-26,61
Свердловская область,2020-04-26,58
Новосибирская область,2020-04-26,58
Тамбовская область,2020-04-26,56
Владимирская область,2020-04-26,49
Республика Мордовия,2020-04-26,49
Кировская область,2020-04-26,46
Ямало-Ненецкий АО,2020-04-26,45
Республика Северная Осетия,2020-04-26,43
Орловская область,2020-04-26,42
Ярославская область,2020-04-26,42
Ленинградская область,2020-04-26,42
Карачаево-Черкесская Республика,2020-04-26,42
Ханты-Мансийский АО,2020-04-26,41
Красноярский край,2020-04-26,41
Саратовская область,2020-04-26,40
Чувашская Республика,2020-04-26,38
Республика Ингушетия,2020-04-26,37
Республика Башкортостан,2020-04-26,37
Ставропольский край,2020-04-26,36
Волгоградская область,2020-04-26,30
Кабардино-Балкарская Республика,2020-04-26,28
Ульяновская область,2020-04-26,27
Хабаровский край,2020-04-26,27
Калининградская область,2020-04-26,26
Воронежская область,2020-04-26,25
Новгородская область,2020-04-26,25
Республика Хакасия,2020-04-26,25
Республика Калмыкия,2020-04-26,24
Республика Марий Эл,2020-04-26,24
Приморский край,2020-04-26,24
Тверская область,2020-04-26,23
Камчатский край,2020-04-26,23
Липецкая область,2020-04-26,22
Чеченская Республика,2020-04-26,22
Белгородская область,2020-04-26,21
Кемеровская область,2020-04-26,21
Архангельская область,2020-04-26,20
Самарская область,2020-04-26,20
Республика Коми,2020-04-26,17
Псковская область,2020-04-26,17
Оренбургская область,2020-04-26,16
Республика Адыгея,2020-04-26,15
Тюменская область,2020-04-26,12
Ивановская область,2020-04-26,11
Костромская область,2020-04-26,11
Республика Саха (Якутия),2020-04-26,11
Смоленская область,2020-04-26,10
Республика Крым,2020-04-26,10
Удмуртская Республика,2020-04-26,9
Вологодская область,2020-04-26,7
Забайкальский край,2020-04-26,7
Пензенская область,2020-04-26,6
Республика Бурятия,2020-04-26,6
Севастополь,2020-04-26,5
Омская область,2020-04-26,4
Республика Тыва,2020-04-26,3
Амурская область,2020-04-26,3
Чукотский АО,2020-04-26,3
Республика Карелия,2020-04-26,2
Курганская область,2020-04-26,2
Иркутская область,2020-04-26,2
Ненецкий автономный округ,2020-04-26,1
Республика Алтай,2020-04-26,1
Томская область,2020-04-26,1
Магаданская область,2020-04-26,1
