region,date,cases
Москва,2020-04-14,1489
Московская область,2020-04-14,460
Санкт-Петербург,2020-04-14,121
Республика Коми,2020-04-14,97
Нижегородская область,2020-04-14,68
Тамбовская область,2020-04-14,35
Ленинградская область,2020-04-14,35
Смоленская область,2020-04-14,34
Рязанская область,2020-04-14,27
Пермский край,2020-04-14,27
Республика Татарстан,2020-04-14,23
Республика Башкортостан,2020-04-14,22
Красноярский край,2020-04-14,21
Ростовская область,2020-04-14,20
Республика Северная Осетия,2020-04-14,18
Владимирская область,2020-04-14,16
Республика Дагестан,2020-04-14,16
Калужская область,2020-04-14,15
Чеченская Республика,2020-04-14,15
Ханты-Мансийский АО,2020-04-14,15
Тюменская область,2020-04-14,14
Республика Мордовия,2020-04-14,13
Республика Марий Эл,2020-04-14,11
Самарская область,2020-04-14,11
Белгородская область,2020-04-14,10
Ивановская область,2020-04-14,10
Ставропольский край,2020-04-14,9
Республика Бурятия,2020-04-14,9
Воронежская область,2020-04-14,8
Оренбургская область,2020-04-14,8
Свердловская область,2020-04-14,8
Республика Хакасия,2020-04-14,8
Орловская область,2020-04-14,7
Вологодская область,2020-04-14,7
Республика Адыгея,2020-04-14,7
Томская область,2020-04-14,7
Удмуртская Республика,2020-04-14,6
Липецкая область,2020-04-14,5
Калининградская область,2020-04-14,5
Краснодарский край,2020-04-14,5
Саратовская область,2020-04-14,5
Челябинская область,2020-04-14,5
Алтайский край,2020-04-14,5
Иркутская область,2020-04-14,4
Приморский край,2020-04-14,4
Карачаево-Черкесская Республика,2020-04-14,3
Волгоградская область,2020-04-14,2
Архангельская область,2020-04-14,1
Республика Саха (Якутия),2020-04-14,1
Магаданская область,2020-04-14,1
Севастополь,2020-04-14,1
