region,date,cases
Москва,2020-04-01,267
Республика Коми,2020-04-01,32
Санкт-Петербург,2020-04-01,27
Московская область,2020-04-01,15
Саратовская область,2020-04-01,11
Вологодская область,2020-04-01,7
Челябинская область,2020-04-01,7
Ленинградская область,2020-04-01,6
Республика Бурятия,2020-04-01,6
Красноярский край,2020-04-01,6
Тульская область,2020-04-01,5
Краснодарский край,2020-04-01,5
Воронежская область,2020-04-01,4
Волгоградская область,2020-04-01,4
Пензенская область,2020-04-01,4
Омская область,2020-04-01,4
Курская область,2020-04-01,3
Тамбовская область,2020-04-01,3
Ханты-Мансийский АО,2020-04-01,3
Брянская область,2020-04-01,2
Ивановская область,2020-04-01,2
Республика Дагестан,2020-04-01,2
Кабардино-Балкарская Республика,2020-04-01,2
Республика Северная Осетия,2020-04-01,2
Владимирская область,2020-04-01,1
Липецкая область,2020-04-01,1
Тверская область,2020-04-01,1
Чеченская Республика,2020-04-01,1
Республика Башкортостан,2020-04-01,1
Республика Мордовия,2020-04-01,1
Алтайский край,2020-04-01,1
Новосибирская область,2020-04-01,1
Приморский край,2020-04-01,1
Хабаровский край,2020-04-01,1
Сахалинская область,2020-04-01,1
