region,date,cases
Москва,2020-04-25,2612
Московская область,2020-04-25,605
Санкт-Петербург,2020-04-25,215
Мурманская область,2020-04-25,193
Республика Дагестан,2020-04-25,157
Нижегородская область,2020-04-25,118
Краснодарский край,2020-04-25,84
Тульская область,2020-04-25,73
Челябинская область,2020-04-25,72
Калужская область,2020-04-25,69
Республика Татарстан,2020-04-25,65
Рязанская область,2020-04-25,64
Алтайский край,2020-04-25,63
Оренбургская область,2020-04-25,56
Пермский край,2020-04-25,55
Ростовская область,2020-04-25,51
Республика Хакасия,2020-04-25,49
Карачаево-Черкесская Республика,2020-04-25,46
Владимирская область,2020-04-25,45
Тамбовская область,2020-04-25,45
Республика Мордовия,2020-04-25,45
Курская область,2020-04-25,44
Ленинградская область,2020-04-25,43
Республика Ингушетия,2020-04-25,41
Кировская область,2020-04-25,40
Новосибирская область,2020-04-25,38
Ярославская область,2020-04-25,37
Ямало-Ненецкий АО,2020-04-25,37
Республика Башкортостан,2020-04-25,35
Чувашская Республика,2020-04-25,35
Приморский край,2020-04-25,34
Свердловская область,2020-04-25,33
Республика Северная Осетия,2020-04-25,30
Республика Марий Эл,2020-04-25,30
Тверская область,2020-04-25,29
Кабардино-Балкарская Республика,2020-04-25,29
Хабаровский край,2020-04-25,28
Брянская область,2020-04-25,27
Ставропольский край,2020-04-25,27
Ульяновская область,2020-04-25,27
Волгоградская область,2020-04-25,26
Орловская область,2020-04-25,25
Астраханская область,2020-04-25,25
Самарская область,2020-04-25,24
Пензенская область,2020-04-25,23
Воронежская область,2020-04-25,22
Чеченская Республика,2020-04-25,22
Липецкая область,2020-04-25,21
Калининградская область,2020-04-25,21
Саратовская область,2020-04-25,20
Белгородская область,2020-04-25,19
Республика Калмыкия,2020-04-25,18
Красноярский край,2020-04-25,18
Костромская область,2020-04-25,17
Смоленская область,2020-04-25,17
Тюменская область,2020-04-25,17
Ивановская область,2020-04-25,16
Ханты-Мансийский АО,2020-04-25,16
Новгородская область,2020-04-25,15
Удмуртская Республика,2020-04-25,15
Республика Бурятия,2020-04-25,13
Псковская область,2020-04-25,12
Архангельская область,2020-04-25,10
Забайкальский край,2020-04-25,10
Вологодская область,2020-04-25,9
Республика Тыва,2020-04-25,9
Магаданская область,2020-04-25,9
Республика Коми,2020-04-25,8
Томская область,2020-04-25,7
Кемеровская область,2020-04-25,6
Еврейская АО,2020-04-25,6
Республика Карелия,2020-04-25,5
Курганская область,2020-04-25,5
Республика Алтай,2020-04-25,5
Иркутская область,2020-04-25,5
Амурская область,2020-04-25,5
Омская область,2020-04-25,4
Республика Саха (Якутия),2020-04-25,4
Республика Крым,2020-04-25,4
Камчатский край,2020-04-25,3
Республика Адыгея,2020-04-25,2
Чукотский АО,2020-04-25,1
Севастополь,2020-04-25,1
