region,date,cases
Москва,2020-03-29,197
Московская область,2020-03-29,27
Санкт-Петербург,2020-03-29,5
Пензенская область,2020-03-29,5
Республика Коми,2020-03-29,4
Чеченская Республика,2020-03-29,4
Челябинская область,2020-03-29,3
Омская область,2020-03-29,3
Ленинградская область,2020-03-29,2
Мурманская область,2020-03-29,2
Новгородская область,2020-03-29,2
Хабаровский край,2020-03-29,2
Белгородская область,2020-03-29,1
Липецкая область,2020-03-29,1
Рязанская область,2020-03-29,1
Ярославская область,2020-03-29,1
Республика Башкортостан,2020-03-29,1
Республика Мордовия,2020-03-29,1
Кировская область,2020-03-29,1
Тюменская область,2020-03-29,1
Ханты-Мансийский АО,2020-03-29,1
Иркутская область,2020-03-29,1
Новосибирская область,2020-03-29,1
Томская область,2020-03-29,1
Республика Саха (Якутия),2020-03-29,1
Амурская область,2020-03-29,1
