region,date,cases
Москва,2020-04-27,2871
Московская область,2020-04-27,638
Нижегородская область,2020-04-27,207
Республика Дагестан,2020-04-27,167
Санкт-Петербург,2020-04-27,161
Рязанская область,2020-04-27,85
Камчатский край,2020-04-27,85
Республика Татарстан,2020-04-27,70
Курская область,2020-04-27,69
Тульская область,2020-04-27,69
Ростовская область,2020-04-27,65
Тамбовская область,2020-04-27,61
Свердловская область,2020-04-27,59
Челябинская область,2020-04-27,58
Краснодарский край,2020-04-27,57
Калужская область,2020-04-27,56
Республика Северная Осетия,2020-04-27,53
Орловская область,2020-04-27,44
Брянская область,2020-04-27,43
Владимирская область,2020-04-27,43
Ленинградская область,2020-04-27,43
Республика Башкортостан,2020-04-27,43
Республика Мордовия,2020-04-27,42
Чувашская Республика,2020-04-27,42
Новосибирская область,2020-04-27,42
Республика Ингушетия,2020-04-27,38
Смоленская область,2020-04-27,35
Самарская область,2020-04-27,35
Тверская область,2020-04-27,34
Новгородская область,2020-04-27,33
Ставропольский край,2020-04-27,33
Хабаровский край,2020-04-27,33
Республика Марий Эл,2020-04-27,31
Волгоградская область,2020-04-27,30
Кабардино-Балкарская Республика,2020-04-27,29
Калининградская область,2020-04-27,28
Мурманская область,2020-04-27,28
Белгородская область,2020-04-27,27
Ямало-Ненецкий АО,2020-04-27,27
Алтайский край,2020-04-27,27
Кировская область,2020-04-27,26
Ярославская область,2020-04-27,25
Липецкая область,2020-04-27,24
Ульяновская область,2020-04-27,24
Приморский край,2020-04-27,24
Ханты-Мансийский АО,2020-04-27,23
Республика Бурятия,2020-04-27,23
Пензенская область,2020-04-27,22
Саратовская область,2020-04-27,22
Астраханская область,2020-04-27,21
Воронежская область,2020-04-27,20
Чеченская Республика,2020-04-27,20
Пермский край,2020-04-27,20
Карачаево-Черкесская Республика,2020-04-27,19
Красноярский край,2020-04-27,19
Еврейская АО,2020-04-27,15
Псковская область,2020-04-27,14
Оренбургская область,2020-04-27,14
Тюменская область,2020-04-27,13
Республика Карелия,2020-04-27,12
Республика Коми,2020-04-27,12
Республика Калмыкия,2020-04-27,12
Республика Алтай,2020-04-27,12
Костромская область,2020-04-27,10
Вологодская область,2020-04-27,10
Ненецкий автономный округ,2020-04-27,9
Омская область,2020-04-27,9
Томская область,2020-04-27,9
Ивановская область,2020-04-27,8
Архангельская область,2020-04-27,8
Республика Адыгея,2020-04-27,8
Республика Хакасия,2020-04-27,8
Республика Саха (Якутия),2020-04-27,7
Забайкальский край,2020-04-27,6
Удмуртская Республика,2020-04-27,5
Кемеровская область,2020-04-27,4
Амурская область,2020-04-27,4
Республика Тыва,2020-04-27,3
Магаданская область,2020-04-27,3
Севастополь,2020-04-27,3
Курганская область,2020-04-27,2
Чукотский АО,2020-04-27,2
Республика Крым,2020-04-27,2
Сахалинская область,2020-04-27,1
