region,date,cases
Москва,2020-04-13,1355
Московская область,2020-04-13,495
Санкт-Петербург,2020-04-13,121
Тверская область,2020-04-13,44
Краснодарский край,2020-04-13,41
Нижегородская область,2020-04-13,30
Ростовская область,2020-04-13,26
Красноярский край,2020-04-13,25
Республика Башкортостан,2020-04-13,23
Оренбургская область,2020-04-13,20
Рязанская область,2020-04-13,18
Пензенская область,2020-04-13,17
Ленинградская область,2020-04-13,16
Республика Мордовия,2020-04-13,16
Ульяновская область,2020-04-13,16
Курская область,2020-04-13,15
Кабардино-Балкарская Республика,2020-04-13,15
Чувашская Республика,2020-04-13,15
Кировская область,2020-04-13,15
Тюменская область,2020-04-13,14
Хабаровский край,2020-04-13,14
Владимирская область,2020-04-13,13
Ставропольский край,2020-04-13,12
Воронежская область,2020-04-13,11
Тульская область,2020-04-13,11
Республика Татарстан,2020-04-13,11
Калужская область,2020-04-13,10
Республика Марий Эл,2020-04-13,10
Новгородская область,2020-04-13,8
Новосибирская область,2020-04-13,8
Архангельская область,2020-04-13,7
Свердловская область,2020-04-13,7
Иркутская область,2020-04-13,7
Ивановская область,2020-04-13,6
Липецкая область,2020-04-13,6
Волгоградская область,2020-04-13,6
Забайкальский край,2020-04-13,6
Орловская область,2020-04-13,5
Псковская область,2020-04-13,5
Республика Ингушетия,2020-04-13,5
Самарская область,2020-04-13,5
Смоленская область,2020-04-13,4
Калининградская область,2020-04-13,4
Ямало-Ненецкий АО,2020-04-13,4
Республика Бурятия,2020-04-13,4
Томская область,2020-04-13,4
Приморский край,2020-04-13,4
Челябинская область,2020-04-13,3
Республика Саха (Якутия),2020-04-13,3
Карачаево-Черкесская Республика,2020-04-13,2
Чеченская Республика,2020-04-13,2
Саратовская область,2020-04-13,2
Алтайский край,2020-04-13,2
Кемеровская область,2020-04-13,2
Брянская область,2020-04-13,1
Республика Карелия,2020-04-13,1
Вологодская область,2020-04-13,1
Астраханская область,2020-04-13,1
Омская область,2020-04-13,1
Магаданская область,2020-04-13,1
Еврейская АО,2020-04-13,1
Республика Крым,2020-04-13,1
