region,date,cases
Москва,2020-04-16,1370
Московская область,2020-04-16,467
Санкт-Петербург,2020-04-16,154
Нижегородская область,2020-04-16,65
Республика Ингушетия,2020-04-16,63
Красноярский край,2020-04-16,60
Тамбовская область,2020-04-16,50
Республика Дагестан,2020-04-16,49
Чувашская Республика,2020-04-16,47
Тульская область,2020-04-16,44
Республика Башкортостан,2020-04-16,42
Мурманская область,2020-04-16,41
Ростовская область,2020-04-16,41
Республика Коми,2020-04-16,39
Ханты-Мансийский АО,2020-04-16,39
Рязанская область,2020-04-16,38
Брянская область,2020-04-16,37
Тверская область,2020-04-16,34
Орловская область,2020-04-16,32
Ленинградская область,2020-04-16,32
Курская область,2020-04-16,31
Республика Марий Эл,2020-04-16,29
Калужская область,2020-04-16,28
Ставропольский край,2020-04-16,28
Оренбургская область,2020-04-16,28
Новгородская область,2020-04-16,27
Тюменская область,2020-04-16,27
Смоленская область,2020-04-16,26
Ярославская область,2020-04-16,23
Ямало-Ненецкий АО,2020-04-16,22
Краснодарский край,2020-04-16,21
Республика Татарстан,2020-04-16,21
Кабардино-Балкарская Республика,2020-04-16,19
Ульяновская область,2020-04-16,19
Пермский край,2020-04-16,18
Республика Адыгея,2020-04-16,16
Ивановская область,2020-04-16,15
Вологодская область,2020-04-16,15
Удмуртская Республика,2020-04-16,15
Магаданская область,2020-04-16,15
Владимирская область,2020-04-16,14
Воронежская область,2020-04-16,14
Саратовская область,2020-04-16,14
Забайкальский край,2020-04-16,14
Хабаровский край,2020-04-16,14
Белгородская область,2020-04-16,13
Астраханская область,2020-04-16,13
Костромская область,2020-04-16,11
Липецкая область,2020-04-16,11
Волгоградская область,2020-04-16,11
Новосибирская область,2020-04-16,11
Камчатский край,2020-04-16,11
Самарская область,2020-04-16,10
Кировская область,2020-04-16,9
Алтайский край,2020-04-16,9
Калининградская область,2020-04-16,8
Республика Бурятия,2020-04-16,8
Карачаево-Черкесская Республика,2020-04-16,7
Пензенская область,2020-04-16,7
Свердловская область,2020-04-16,6
Иркутская область,2020-04-16,6
Томская область,2020-04-16,6
Псковская область,2020-04-16,5
Приморский край,2020-04-16,4
Чеченская Республика,2020-04-16,3
Кемеровская область,2020-04-16,3
Амурская область,2020-04-16,3
Республика Крым,2020-04-16,3
Челябинская область,2020-04-16,2
Республика Тыва,2020-04-16,2
Республика Саха (Якутия),2020-04-16,2
Республика Карелия,2020-04-16,1
Архангельская область,2020-04-16,1
Республика Калмыкия,2020-04-16,1
Курганская область,2020-04-16,1
Республика Хакасия,2020-04-16,1
Омская область,2020-04-16,1
Еврейская АО,2020-04-16,1
