region,date,cases
Москва,2020-03-30,212
Республика Коми,2020-03-30,15
Санкт-Петербург,2020-03-30,8
Московская область,2020-03-30,7
Республика Бурятия,2020-03-30,5
Архангельская область,2020-03-30,4
Белгородская область,2020-03-30,3
Псковская область,2020-03-30,3
Республика Адыгея,2020-03-30,3
Республика Дагестан,2020-03-30,3
Кировская область,2020-03-30,3
Владимирская область,2020-03-30,2
Ивановская область,2020-03-30,2
Рязанская область,2020-03-30,2
Вологодская область,2020-03-30,2
Ленинградская область,2020-03-30,2
Мурманская область,2020-03-30,2
Кабардино-Балкарская Республика,2020-03-30,2
Республика Марий Эл,2020-03-30,2
Пермский край,2020-03-30,2
Саратовская область,2020-03-30,2
Челябинская область,2020-03-30,2
Красноярский край,2020-03-30,2
Калужская область,2020-03-30,1
Липецкая область,2020-03-30,1
Тверская область,2020-03-30,1
Тульская область,2020-03-30,1
Калининградская область,2020-03-30,1
Республика Калмыкия,2020-03-30,1
Ставропольский край,2020-03-30,1
Оренбургская область,2020-03-30,1
Республика Хакасия,2020-03-30,1
Алтайский край,2020-03-30,1
Иркутская область,2020-03-30,1
Новосибирская область,2020-03-30,1
