region,date,cases
Москва,2020-04-03,448
Московская область,2020-04-03,34
Краснодарский край,2020-04-03,17
Пензенская область,2020-04-03,11
Ленинградская область,2020-04-03,10
Ямало-Ненецкий АО,2020-04-03,10
Санкт-Петербург,2020-04-03,9
Ханты-Мансийский АО,2020-04-03,8
Республика Татарстан,2020-04-03,6
Республика Калмыкия,2020-04-03,5
Тюменская область,2020-04-03,5
Саратовская область,2020-04-03,4
Липецкая область,2020-04-03,3
Астраханская область,2020-04-03,3
Кировская область,2020-04-03,3
Еврейская АО,2020-04-03,3
Брянская область,2020-04-03,2
Ивановская область,2020-04-03,2
Чеченская Республика,2020-04-03,2
Челябинская область,2020-04-03,2
Приморский край,2020-04-03,2
Республика Крым,2020-04-03,2
Курская область,2020-04-03,1
Рязанская область,2020-04-03,1
Тверская область,2020-04-03,1
Архангельская область,2020-04-03,1
Республика Ингушетия,2020-04-03,1
Пермский край,2020-04-03,1
Свердловская область,2020-04-03,1
Республика Бурятия,2020-04-03,1
Иркутская область,2020-04-03,1
Хабаровский край,2020-04-03,1
