region,date,cases
Москва,2020-04-06,591
Московская область,2020-04-06,82
Санкт-Петербург,2020-04-06,35
Республика Коми,2020-04-06,31
Республика Татарстан,2020-04-06,16
Краснодарский край,2020-04-06,11
Ивановская область,2020-04-06,10
Тульская область,2020-04-06,10
Вологодская область,2020-04-06,10
Воронежская область,2020-04-06,9
Ставропольский край,2020-04-06,9
Республика Марий Эл,2020-04-06,9
Нижегородская область,2020-04-06,9
Липецкая область,2020-04-06,8
Тамбовская область,2020-04-06,8
Республика Бурятия,2020-04-06,8
Волгоградская область,2020-04-06,7
Архангельская область,2020-04-06,6
Республика Адыгея,2020-04-06,6
Брянская область,2020-04-06,5
Рязанская область,2020-04-06,5
Ленинградская область,2020-04-06,5
Республика Дагестан,2020-04-06,5
Пензенская область,2020-04-06,5
Алтайский край,2020-04-06,5
Белгородская область,2020-04-06,4
Свердловская область,2020-04-06,4
Челябинская область,2020-04-06,4
Мурманская область,2020-04-06,3
Республика Северная Осетия,2020-04-06,3
Красноярский край,2020-04-06,3
Иркутская область,2020-04-06,3
Владимирская область,2020-04-06,2
Тверская область,2020-04-06,2
Республика Карелия,2020-04-06,2
Новгородская область,2020-04-06,2
Чувашская Республика,2020-04-06,2
Оренбургская область,2020-04-06,2
Республика Хакасия,2020-04-06,2
Кемеровская область,2020-04-06,2
Калужская область,2020-04-06,1
Костромская область,2020-04-06,1
Орловская область,2020-04-06,1
Смоленская область,2020-04-06,1
Псковская область,2020-04-06,1
Чеченская Республика,2020-04-06,1
Республика Мордовия,2020-04-06,1
Ульяновская область,2020-04-06,1
Республика Крым,2020-04-06,1
