region,date,cases
Москва,2020-03-31,387
Санкт-Петербург,2020-03-31,48
Республика Дагестан,2020-03-31,9
Свердловская область,2020-03-31,9
Мурманская область,2020-03-31,6
Республика Бурятия,2020-03-31,6
Республика Татарстан,2020-03-31,5
Пензенская область,2020-03-31,5
Ленинградская область,2020-03-31,3
Ростовская область,2020-03-31,3
Воронежская область,2020-03-31,2
Астраханская область,2020-03-31,2
Республика Башкортостан,2020-03-31,2
Тюменская область,2020-03-31,2
Приморский край,2020-03-31,2
Костромская область,2020-03-31,1
Республика Калмыкия,2020-03-31,1
Нижегородская область,2020-03-31,1
Самарская область,2020-03-31,1
Алтайский край,2020-03-31,1
Иркутская область,2020-03-31,1
Хабаровский край,2020-03-31,1
Магаданская область,2020-03-31,1
Республика Крым,2020-03-31,1
