region,date,cases
Москва,2020-04-08,660
Московская область,2020-04-08,95
Санкт-Петербург,2020-04-08,34
Ленинградская область,2020-04-08,32
Республика Марий Эл,2020-04-08,27
Мурманская область,2020-04-08,25
Краснодарский край,2020-04-08,24
Нижегородская область,2020-04-08,24
Липецкая область,2020-04-08,18
Республика Коми,2020-04-08,18
Республика Ингушетия,2020-04-08,18
Рязанская область,2020-04-08,15
Ямало-Ненецкий АО,2020-04-08,11
Воронежская область,2020-04-08,10
Кабардино-Балкарская Республика,2020-04-08,10
Чувашская Республика,2020-04-08,9
Оренбургская область,2020-04-08,8
Хабаровский край,2020-04-08,8
Республика Мордовия,2020-04-08,7
Республика Бурятия,2020-04-08,7
Красноярский край,2020-04-08,7
Приморский край,2020-04-08,7
Курская область,2020-04-08,6
Тамбовская область,2020-04-08,6
Республика Северная Осетия,2020-04-08,6
Алтайский край,2020-04-08,6
Тульская область,2020-04-08,5
Чеченская Республика,2020-04-08,5
Свердловская область,2020-04-08,5
Сахалинская область,2020-04-08,5
Белгородская область,2020-04-08,4
Смоленская область,2020-04-08,4
Тверская область,2020-04-08,4
Вологодская область,2020-04-08,4
Республика Калмыкия,2020-04-08,4
Ростовская область,2020-04-08,4
Республика Башкортостан,2020-04-08,4
Ханты-Мансийский АО,2020-04-08,3
Забайкальский край,2020-04-08,3
Еврейская АО,2020-04-08,3
Владимирская область,2020-04-08,2
Карачаево-Черкесская Республика,2020-04-08,2
Кемеровская область,2020-04-08,2
Новосибирская область,2020-04-08,2
Брянская область,2020-04-08,1
Калининградская область,2020-04-08,1
Республика Дагестан,2020-04-08,1
Пензенская область,2020-04-08,1
Самарская область,2020-04-08,1
Саратовская область,2020-04-08,1
Курганская область,2020-04-08,1
Республика Хакасия,2020-04-08,1
Омская область,2020-04-08,1
Томская область,2020-04-08,1
Республика Саха (Якутия),2020-04-08,1
Республика Крым,2020-04-08,1
