region,date,cases
Москва,2020-03-24,28
Санкт-Петербург,2020-03-24,5
Воронежская область,2020-03-24,4
Свердловская область,2020-03-24,4
Республика Башкортостан,2020-03-24,3
Липецкая область,2020-03-24,2
Орловская область,2020-03-24,2
Ленинградская область,2020-03-24,2
Приморский край,2020-03-24,2
Калужская область,2020-03-24,1
Чеченская Республика,2020-03-24,1
Волгоградская область,2020-03-24,1
Республика Татарстан,2020-03-24,1
Самарская область,2020-03-24,1
За весь период выписано,2020-03-24,22
