region,date,cases
Москва,2020-05-01,3561
Московская область,2020-05-01,797
Санкт-Петербург,2020-05-01,349
Свердловская область,2020-05-01,232
Нижегородская область,2020-05-01,179
Республика Дагестан,2020-05-01,164
Калужская область,2020-05-01,121
Ставропольский край,2020-05-01,89
Брянская область,2020-05-01,88
Мурманская область,2020-05-01,86
Ростовская область,2020-05-01,83
Тульская область,2020-05-01,82
Республика Башкортостан,2020-05-01,77
Республика Северная Осетия,2020-05-01,73
Республика Татарстан,2020-05-01,71
Курская область,2020-05-01,66
Краснодарский край,2020-05-01,66
Ярославская область,2020-05-01,64
Тамбовская область,2020-05-01,63
Новосибирская область,2020-05-01,55
Ямало-Ненецкий АО,2020-05-01,51
Оренбургская область,2020-05-01,49
Саратовская область,2020-05-01,49
Красноярский край,2020-05-01,48
Республика Ингушетия,2020-05-01,47
Владимирская область,2020-05-01,46
Карачаево-Черкесская Республика,2020-05-01,46
Ивановская область,2020-05-01,44
Ленинградская область,2020-05-01,44
Пензенская область,2020-05-01,44
Челябинская область,2020-05-01,44
Рязанская область,2020-05-01,43
Кабардино-Балкарская Республика,2020-05-01,43
Волгоградская область,2020-05-01,42
Чувашская Республика,2020-05-01,41
Алтайский край,2020-05-01,41
Республика Калмыкия,2020-05-01,39
Орловская область,2020-05-01,37
Калининградская область,2020-05-01,37
Воронежская область,2020-05-01,36
Липецкая область,2020-05-01,3
Республика Марий Эл,2020-05-01,31
Республика Мордовия,2020-05-01,30
Хабаровский край,2020-05-01,30
Тверская область,2020-05-01,29
Белгородская область,2020-05-01,28
Республика Коми,2020-05-01,28
Приморский край,2020-05-01,27
Смоленская область,2020-05-01,26
Республика Бурятия,2020-05-01,26
Самарская область,2020-05-01,25
Республика Хакасия,2020-05-01,25
Пермский край,2020-05-01,24
Ульяновская область,2020-05-01,23
Республика Саха (Якутия),2020-05-01,22
Забайкальский край,2020-05-01,20
Чеченская Республика,2020-05-01,19
Астраханская область,2020-05-01,19
Новгородская область,2020-05-01,18
Кировская область,2020-05-01,18
Ханты-Мансийский АО,2020-05-01,18
Иркутская область,2020-05-01,18
Костромская область,2020-05-01,16
Камчатский край,2020-05-01,16
Архангельская область,2020-05-01,15
Вологодская область,2020-05-01,11
Амурская область,2020-05-01,11
Омская область,2020-05-01,10
Удмуртская Республика,2020-05-01,9
Магаданская область,2020-05-01,9
Республика Карелия,2020-05-01,8
Томская область,2020-05-01,8
Тюменская область,2020-05-01,7
Еврейская АО,2020-05-01,7
Севастополь,2020-05-01,7
Республика Тыва,2020-05-01,6
Курганская область,2020-05-01,5
Псковская область,2020-05-01,4
Республика Крым,2020-05-01,3
Республика Адыгея,2020-05-01,2
Кемеровская область,2020-05-01,2
Чукотский АО,2020-05-01,2
Ненецкий АО,2020-05-01,1
Республика Алтай,2020-05-01,1
Сахалинская область,2020-05-01,1
