region,date,cases
Москва,2020-04-10,1124
Московская область,2020-04-10,182
Республика Коми,2020-04-10,58
Санкт-Петербург,2020-04-10,35
Ульяновская область,2020-04-10,34
Нижегородская область,2020-04-10,32
Мурманская область,2020-04-10,23
Республика Марий Эл,2020-04-10,22
Краснодарский край,2020-04-10,20
Республика Башкортостан,2020-04-10,18
Ленинградская область,2020-04-10,17
Чувашская Республика,2020-04-10,15
Пензенская область,2020-04-10,15
Тамбовская область,2020-04-10,12
Калининградская область,2020-04-10,10
Ставропольский край,2020-04-10,10
Белгородская область,2020-04-10,8
Калужская область,2020-04-10,7
Липецкая область,2020-04-10,7
Орловская область,2020-04-10,7
Республика Адыгея,2020-04-10,7
Рязанская область,2020-04-10,6
Новгородская область,2020-04-10,6
Республика Бурятия,2020-04-10,6
Республика Тыва,2020-04-10,6
Тверская область,2020-04-10,5
Тульская область,2020-04-10,5
Республика Северная Осетия,2020-04-10,5
Ростовская область,2020-04-10,5
Владимирская область,2020-04-10,4
Воронежская область,2020-04-10,4
Республика Ингушетия,2020-04-10,4
Кабардино-Балкарская Республика,2020-04-10,4
Пермский край,2020-04-10,4
Саратовская область,2020-04-10,4
Иркутская область,2020-04-10,4
Кемеровская область,2020-04-10,4
Хабаровский край,2020-04-10,4
Костромская область,2020-04-10,3
Вологодская область,2020-04-10,3
Карачаево-Черкесская Республика,2020-04-10,3
Оренбургская область,2020-04-10,3
Тюменская область,2020-04-10,3
Республика Хакасия,2020-04-10,3
Новосибирская область,2020-04-10,3
Республика Крым,2020-04-10,3
Смоленская область,2020-04-10,2
Волгоградская область,2020-04-10,2
Республика Мордовия,2020-04-10,2
Удмуртская Республика,2020-04-10,2
Самарская область,2020-04-10,2
Свердловская область,2020-04-10,2
Омская область,2020-04-10,2
Еврейская АО,2020-04-10,2
Курская область,2020-04-10,1
Республика Дагестан,2020-04-10,1
Кировская область,2020-04-10,1
