region,date,cases
Москва,2020-04-17,1959
Московская область,2020-04-17,472
Санкт-Петербург,2020-04-17,424
Республика Мордовия,2020-04-17,65
Республика Дагестан,2020-04-17,59
Нижегородская область,2020-04-17,54
Республика Ингушетия,2020-04-17,38
Оренбургская область,2020-04-17,38
Тверская область,2020-04-17,37
Республика Адыгея,2020-04-17,36
Тюменская область,2020-04-17,34
Республика Марий Эл,2020-04-17,32
Рязанская область,2020-04-17,30
Краснодарский край,2020-04-17,30
Красноярский край,2020-04-17,29
Брянская область,2020-04-17,27
Курская область,2020-04-17,25
Тульская область,2020-04-17,25
Владимирская область,2020-04-17,24
Ленинградская область,2020-04-17,24
Кабардино-Балкарская Республика,2020-04-17,23
Ростовская область,2020-04-17,23
Республика Башкортостан,2020-04-17,22
Новгородская область,2020-04-17,21
Калужская область,2020-04-17,20
Воронежская область,2020-04-17,19
Ярославская область,2020-04-17,19
Карачаево-Черкесская Республика,2020-04-17,19
Кировская область,2020-04-17,18
Ханты-Мансийский АО,2020-04-17,18
Хабаровский край,2020-04-17,18
Республика Калмыкия,2020-04-17,17
Саратовская область,2020-04-17,17
Республика Татарстан,2020-04-17,16
Удмуртская Республика,2020-04-17,16
Ульяновская область,2020-04-17,15
Республика Коми,2020-04-17,14
Ивановская область,2020-04-17,13
Республика Северная Осетия,2020-04-17,13
Самарская область,2020-04-17,13
Белгородская область,2020-04-17,12
Липецкая область,2020-04-17,12
Орловская область,2020-04-17,12
Калининградская область,2020-04-17,12
Ставропольский край,2020-04-17,12
Чувашская Республика,2020-04-17,12
Пензенская область,2020-04-17,12
Пермский край,2020-04-17,12
Новосибирская область,2020-04-17,12
Республика Хакасия,2020-04-17,11
Вологодская область,2020-04-17,10
Костромская область,2020-04-17,9
Приморский край,2020-04-17,9
Мурманская область,2020-04-17,8
Камчатский край,2020-04-17,8
Смоленская область,2020-04-17,7
Чеченская Республика,2020-04-17,7
Сахалинская область,2020-04-17,7
Ямало-Ненецкий АО,2020-04-17,6
Еврейская АО,2020-04-17,6
Псковская область,2020-04-17,5
Алтайский край,2020-04-17,5
Астраханская область,2020-04-17,4
Волгоградская область,2020-04-17,4
Свердловская область,2020-04-17,4
Челябинская область,2020-04-17,4
Кемеровская область,2020-04-17,4
Севастополь,2020-04-17,4
Республика Бурятия,2020-04-17,3
Омская область,2020-04-17,3
Республика Саха (Якутия),2020-04-17,3
Республика Крым,2020-04-17,3
Иркутская область,2020-04-17,2
Забайкальский край,2020-04-17,2
Амурская область,2020-04-17,2
Республика Карелия,2020-04-17,1
Архангельская область,2020-04-17,1
Курганская область,2020-04-17,1
Республика Тыва,2020-04-17,1
Чукотский АО,2020-04-17,1
Республика Алтай,2020-04-17,1
