region,date,cases
Москва,2020-03-25,120
Московская область,2020-03-25,6
Республика Крым,2020-03-25,6
Псковская область,2020-03-25,4
Краснодарский край,2020-03-25,4
Оренбургская область,2020-03-25,3
Республика Саха (Якутия),2020-03-25,3
Тульская область,2020-03-25,2
Республика Коми,2020-03-25,2
Кабардино-Балкарская Республика,2020-03-25,2
Пермский край,2020-03-25,2
Брянская область,2020-03-25,1
Архангельская область,2020-03-25,1
Калининградская область,2020-03-25,1
Ставропольский край,2020-03-25,1
Ростовская область,2020-03-25,1
Республика Башкортостан,2020-03-25,1
Нижегородская область,2020-03-25,1
Пензенская область,2020-03-25,1
Челябинская область,2020-03-25,1
Также выписаны,2020-03-25,1
Нижегородской области и,2020-03-25,1
