region,date,cases
Москва,2020-04-24,2957
Московская область,2020-04-24,611
Санкт-Петербург,2020-04-24,253
Республика Дагестан,2020-04-24,113
Нижегородская область,2020-04-24,94
Краснодарский край,2020-04-24,84
Ростовская область,2020-04-24,64
Калужская область,2020-04-24,61
Мурманская область,2020-04-24,60
Челябинская область,2020-04-24,57
Орловская область,2020-04-24,47
Рязанская область,2020-04-24,46
Тульская область,2020-04-24,44
Самарская область,2020-04-24,44
Чувашская Республика,2020-04-24,43
Владимирская область,2020-04-24,42
Ярославская область,2020-04-24,42
Новосибирская область,2020-04-24,41
Хабаровский край,2020-04-24,41
Ленинградская область,2020-04-24,39
Республика Мордовия,2020-04-24,39
Республика Ингушетия,2020-04-24,38
Курская область,2020-04-24,37
Кировская область,2020-04-24,36
Брянская область,2020-04-24,35
Тамбовская область,2020-04-24,35
Приморский край,2020-04-24,35
Республика Северная Осетия,2020-04-24,33
Республика Башкортостан,2020-04-24,33
Свердловская область,2020-04-24,33
Пермский край,2020-04-24,31
Воронежская область,2020-04-24,30
Тверская область,2020-04-24,29
Республика Марий Эл,2020-04-24,29
Оренбургская область,2020-04-24,28
Белгородская область,2020-04-24,26
Ставропольский край,2020-04-24,26
Липецкая область,2020-04-24,25
Кабардино-Балкарская Республика,2020-04-24,25
Карачаево-Черкесская Республика,2020-04-24,25
Ульяновская область,2020-04-24,25
Ямало-Ненецкий АО,2020-04-24,23
Красноярский край,2020-04-24,22
Астраханская область,2020-04-24,21
Волгоградская область,2020-04-24,21
Пензенская область,2020-04-24,21
Калининградская область,2020-04-24,18
Чеченская Республика,2020-04-24,18
Удмуртская Республика,2020-04-24,17
Костромская область,2020-04-24,16
Саратовская область,2020-04-24,16
Тюменская область,2020-04-24,16
Псковская область,2020-04-24,15
Архангельская область,2020-04-24,14
Новгородская область,2020-04-24,14
Республика Татарстан,2020-04-24,14
Еврейская АО,2020-04-24,14
Смоленская область,2020-04-24,11
Республика Коми,2020-04-24,11
Республика Калмыкия,2020-04-24,10
Вологодская область,2020-04-24,9
Кемеровская область,2020-04-24,9
Забайкальский край,2020-04-24,9
Республика Саха (Якутия),2020-04-24,9
Ивановская область,2020-04-24,8
Алтайский край,2020-04-24,8
Томская область,2020-04-24,7
Камчатский край,2020-04-24,6
Иркутская область,2020-04-24,5
Чукотский АО,2020-04-24,5
Республика Бурятия,2020-04-24,4
Республика Адыгея,2020-04-24,3
Республика Хакасия,2020-04-24,3
Амурская область,2020-04-24,3
Республика Карелия,2020-04-24,2
Курганская область,2020-04-24,2
Ханты-Мансийский АО,2020-04-24,2
Магаданская область,2020-04-24,2
Республика Крым,2020-04-24,2
Республика Тыва,2020-04-24,1
Омская область,2020-04-24,1
Сахалинская область,2020-04-24,1
