region,date,cases
Москва –,2020-04-22,2548
Московская область –,2020-04-22,631
Санкт-Петербург –,2020-04-22,294
Рязанская область –,2020-04-22,76
Республика Татарстан –,2020-04-22,75
Калужская область –,2020-04-22,72
Мурманская область –,2020-04-22,71
Нижегородская область –,2020-04-22,69
Приморский край –,2020-04-22,62
Тульская область –,2020-04-22,52
Ростовская область –,2020-04-22,52
Брянская область –,2020-04-22,49
Республика Дагестан –,2020-04-22,46
Республика Ингушетия –,2020-04-22,43
Ленинградская область –,2020-04-22,41
Орловская область –,2020-04-22,40
Карачаево-Черкесская Республика –,2020-04-22,39
Смоленская область –,2020-04-22,36
Курская область –,2020-04-22,34
Республика Северная Осетия –,2020-04-22,34
Удмуртская Республика –,2020-04-22,34
Республика Мордовия –,2020-04-22,30
Пермский край –,2020-04-22,29
Тюменская область –,2020-04-22,29
Хабаровский край –,2020-04-22,29
Кировская область –,2020-04-22,28
Оренбургская область –,2020-04-22,28
Республика Бурятия –,2020-04-22,28
Тверская область –,2020-04-22,27
Чувашская Республика –,2020-04-22,27
Новгородская область –,2020-04-22,26
Воронежская область –,2020-04-22,25
Республика Башкортостан –,2020-04-22,25
Липецкая область –,2020-04-22,24
Кабардино-Балкарская Республика –,2020-04-22,23
Белгородская область –,2020-04-22,22
Республика Марий Эл –,2020-04-22,22
Саратовская область –,2020-04-22,22
Красноярский край –,2020-04-22,22
Республика Коми –,2020-04-22,20
Чеченская Республика –,2020-04-22,20
Краснодарский край –,2020-04-22,20
Калининградская область –,2020-04-22,19
Тамбовская область –,2020-04-22,18
Пензенская область –,2020-04-22,16
Новосибирская область –,2020-04-22,16
Камчатский край –,2020-04-22,15
Владимирская область –,2020-04-22,13
Ивановская область –,2020-04-22,12
Самарская область –,2020-04-22,12
Ярославская область –,2020-04-22,11
Республика Калмыкия –,2020-04-22,11
Ставропольский край –,2020-04-22,11
Астраханская область –,2020-04-22,11
Волгоградская область –,2020-04-22,11
Забайкальский край –,2020-04-22,11
Свердловская область –,2020-04-22,10
Челябинская область –,2020-04-22,10
Ульяновская область –,2020-04-22,9
Алтайский край –,2020-04-22,9
Кемеровская область –,2020-04-22,9
Еврейская АО –,2020-04-22,9
Костромская область –,2020-04-22,7
Вологодская область –,2020-04-22,7
Иркутская область –,2020-04-22,7
Ханты-Мансийский АО –,2020-04-22,6
Томская область –,2020-04-22,6
Республика Адыгея –,2020-04-22,5
Республика Саха (Якутия) –,2020-04-22,5
Псковская область –,2020-04-22,4
Омская область –,2020-04-22,4
Чукотский АО –,2020-04-22,4
Ямало-Ненецкий АО –,2020-04-22,3
Республика Хакасия –,2020-04-22,3
Амурская область –,2020-04-22,3
Архангельская область –,2020-04-22,2
Магаданская область –,2020-04-22,2
Севастополь,2020-04-22,1
