region,date,cases
Москва,2020-04-11,1030
Московская область,2020-04-11,152
Санкт-Петербург,2020-04-11,80
Нижегородская область,2020-04-11,33
Брянская область,2020-04-11,26
Республика Дагестан,2020-04-11,26
Республика Башкортостан,2020-04-11,25
Республика Татарстан,2020-04-11,23
Ульяновская область,2020-04-11,22
Курская область,2020-04-11,21
Красноярский край,2020-04-11,21
Рязанская область,2020-04-11,17
Ставропольский край,2020-04-11,14
Краснодарский край,2020-04-11,13
Свердловская область,2020-04-11,13
Республика Калмыкия,2020-04-11,9
Ростовская область,2020-04-11,9
Ямало-Ненецкий АО,2020-04-11,9
Чеченская Республика,2020-04-11,8
Тюменская область,2020-04-11,8
Алтайский край,2020-04-11,8
Тверская область,2020-04-11,7
Чувашская Республика,2020-04-11,7
Новосибирская область,2020-04-11,7
Владимирская область,2020-04-11,6
Калужская область,2020-04-11,6
Кировская область,2020-04-11,6
Челябинская область,2020-04-11,6
Орловская область,2020-04-11,5
Ленинградская область,2020-04-11,5
Волгоградская область,2020-04-11,5
Камчатский край,2020-04-11,5
Смоленская область,2020-04-11,4
Липецкая область,2020-04-11,3
Калининградская область,2020-04-11,3
Кабардино-Балкарская Республика,2020-04-11,3
Республика Хакасия,2020-04-11,3
Республика Саха (Якутия),2020-04-11,3
Приморский край,2020-04-11,3
Ивановская область,2020-04-11,2
Иркутская область,2020-04-11,2
Амурская область,2020-04-11,2
Вологодская область,2020-04-11,1
Самарская область,2020-04-11,1
Саратовская область,2020-04-11,1
Республика Бурятия,2020-04-11,1
Кемеровская область,2020-04-11,1
Хабаровский край,2020-04-11,1
Севастополь,2020-04-11,1
