region,date,cases
Москва,2020-04-15,1774
Московская область,2020-04-15,272
Мурманская область,2020-04-15,137
Санкт-Петербург,2020-04-15,130
Ленинградская область,2020-04-15,108
Республика Коми,2020-04-15,97
Республика Ингушетия,2020-04-15,56
Смоленская область,2020-04-15,51
Нижегородская область,2020-04-15,47
Владимирская область,2020-04-15,45
Тульская область,2020-04-15,45
Тверская область,2020-04-15,42
Чеченская Республика,2020-04-15,41
Курская область,2020-04-15,31
Республика Марий Эл,2020-04-15,27
Пермский край,2020-04-15,27
Ивановская область,2020-04-15,25
Калужская область,2020-04-15,25
Краснодарский край,2020-04-15,24
Хабаровский край,2020-04-15,23
Брянская область,2020-04-15,22
Ставропольский край,2020-04-15,20
Республика Башкортостан,2020-04-15,20
Ульяновская область,2020-04-15,18
Тюменская область,2020-04-15,18
Астраханская область,2020-04-15,17
Новосибирская область,2020-04-15,17
Пензенская область,2020-04-15,16
Ханты-Мансийский АО,2020-04-15,15
Чувашская Республика,2020-04-15,13
Кировская область,2020-04-15,13
Ярославская область,2020-04-15,12
Свердловская область,2020-04-15,12
Липецкая область,2020-04-15,11
Красноярский край,2020-04-15,11
Костромская область,2020-04-15,9
Удмуртская Республика,2020-04-15,8
Воронежская область,2020-04-15,7
Карачаево-Черкесская Республика,2020-04-15,7
Саратовская область,2020-04-15,7
Ямало-Ненецкий АО,2020-04-15,7
Республика Саха (Якутия),2020-04-15,7
Псковская область,2020-04-15,6
Ростовская область,2020-04-15,6
Курганская область,2020-04-15,6
Республика Бурятия,2020-04-15,6
Республика Хакасия,2020-04-15,6
Калининградская область,2020-04-15,5
Республика Дагестан,2020-04-15,5
Белгородская область,2020-04-15,4
Республика Карелия,2020-04-15,4
Приморский край,2020-04-15,4
Республика Калмыкия,2020-04-15,3
Челябинская область,2020-04-15,3
Алтайский край,2020-04-15,3
Вологодская область,2020-04-15,2
Омская область,2020-04-15,2
Республика Крым,2020-04-15,2
Ненецкий автономный округ,2020-04-15,1
Волгоградская область,2020-04-15,1
Оренбургская область,2020-04-15,1
Кемеровская область,2020-04-15,1
Сахалинская область,2020-04-15,1
Чукотский АО,2020-04-15,1
Севастополь,2020-04-15,1
