region,date,cases
Москва,2020-05-03,5948
Московская область,2020-05-03,822
Санкт-Петербург,2020-05-03,295
Нижегородская область,2020-05-03,252
Мурманская область,2020-05-03,238
Республика Дагестан,2020-05-03,136
Кабардино-Балкарская Республика,2020-05-03,90
Республика Башкортостан,2020-05-03,87
Брянская область,2020-05-03,86
Самарская область,2020-05-03,85
Тульская область,2020-05-03,83
Краснодарский край,2020-05-03,82
Ярославская область,2020-05-03,76
Астраханская область,2020-05-03,76
Свердловская область,2020-05-03,75
Ростовская область,2020-05-03,72
Калужская область,2020-05-03,71
Республика Татарстан,2020-05-03,71
Республика Северная Осетия,2020-05-03,69
Орловская область,2020-05-03,68
Курская область,2020-05-03,67
Челябинская область,2020-05-03,63
Ленинградская область,2020-05-03,62
Тамбовская область,2020-05-03,60
Владимирская область,2020-05-03,55
Рязанская область,2020-05-03,55
Ставропольский край,2020-05-03,55
Чувашская Республика,2020-05-03,55
Тверская область,2020-05-03,51
Республика Ингушетия,2020-05-03,51
Ямало-Ненецкий АО,2020-05-03,51
Новосибирская область,2020-05-03,51
Саратовская область,2020-05-03,50
Алтайский край,2020-05-03,47
Республика Мордовия,2020-05-03,43
Волгоградская область,2020-05-03,42
Кировская область,2020-05-03,42
Калининградская область,2020-05-03,41
Республика Марий Эл,2020-05-03,40
Липецкая область,2020-05-03,39
Пермский край,2020-05-03,39
Приморский край,2020-05-03,39
Ульяновская область,2020-05-03,38
Воронежская область,2020-05-03,37
Тюменская область,2020-05-03,37
Белгородская область,2020-05-03,35
Ханты-Мансийский АО,2020-05-03,35
Хабаровский край,2020-05-03,34
Пензенская область,2020-05-03,31
Республика Бурятия,2020-05-03,30
Республика Калмыкия,2020-05-03,29
Чеченская Республика,2020-05-03,28
Оренбургская область,2020-05-03,28
Удмуртская Республика,2020-05-03,27
Новгородская область,2020-05-03,26
Камчатский край,2020-05-03,25
Ивановская область,2020-05-03,22
Архангельская область,2020-05-03,22
Республика Коми,2020-05-03,20
Вологодская область,2020-05-03,20
Иркутская область,2020-05-03,20
Республика Саха (Якутия),2020-05-03,19
Псковская область,2020-05-03,18
Карачаево-Черкесская Республика,2020-05-03,18
Красноярский край,2020-05-03,17
Томская область,2020-05-03,17
Костромская область,2020-05-03,12
Забайкальский край,2020-05-03,12
Ненецкий АО,2020-05-03,11
Кемеровская область,2020-05-03,11
Омская область,2020-05-03,11
Республика Адыгея,2020-05-03,10
Смоленская область,2020-05-03,9
Еврейская АО,2020-05-03,9
Амурская область,2020-05-03,7
Республика Хакасия,2020-05-03,6
Республика Карелия,2020-05-03,4
Республика Крым,2020-05-03,4
Республика Тыва,2020-05-03,3
Севастополь,2020-05-03,3
Курганская область,2020-05-03,2
Магаданская область,2020-05-03,2
Сахалинская область,2020-05-03,2
Республика Алтай,2020-05-03,1
Чукотский АО,2020-05-03,1
