,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18
Ростовская область,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,5.0,9.0,0.0,26.0,20.0,6.0,41.0,23.0,29.0
Нижегородская область,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,22.0,9.0,0.0,24.0,0.0,32.0,33.0,42.0,30.0,68.0,47.0,65.0,54.0,59.0
Пензенская область,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,4.0,0.0,11.0,0.0,0.0,5.0,19.0,1.0,0.0,15.0,0.0,0.0,17.0,0.0,16.0,7.0,12.0,21.0
Челябинская область,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,2.0,0.0,7.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,3.0,5.0,3.0,2.0,4.0,4.0
Также выписаны,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нижегородской области и,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Красноярский край,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,4.0,3.0,0.0,7.0,0.0,0.0,21.0,25.0,25.0,21.0,11.0,60.0,29.0,45.0
Ханты-Мансийский АО,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,3.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,39.0,18.0,33.0
Республика Бурятия,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,5.0,6.0,6.0,5.0,1.0,4.0,0.0,8.0,0.0,7.0,0.0,6.0,1.0,0.0,4.0,9.0,6.0,8.0,3.0,9.0
Республика Хакасия,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,8.0,6.0,1.0,11.0,8.0
Кемеровская область,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,3.0,4.0,4.0
Томская область,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,6.0,0.0,3.0
Хабаровский край,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,8.0,0.0,4.0,1.0,0.0,14.0,0.0,23.0,14.0,18.0,38.0
Севастополь,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0
Республика Мордовия,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,16.0,13.0,0.0,0.0,65.0,62.0
Ивановская область,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,0.0,2.0,10.0,0.0,10.0,14.0,0.0,0.0,0.0,2.0,0.0,6.0,10.0,25.0,15.0,13.0,15.0
Ярославская область,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,23.0,19.0,24.0
Республика Дагестан,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,2.0,10.0,0.0,0.0,0.0,5.0,13.0,1.0,0.0,1.0,26.0,0.0,0.0,16.0,5.0,49.0,59.0,44.0
Сахалинская область,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0
Костромская область,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,11.0,9.0,6.0
Смоленская область,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,4.0,0.0,4.0,34.0,51.0,26.0,7.0,13.0
